bleu,p,bp,lr,rl,pl
0.0,,0.5170713180314697,0.6025641025641025,78,47
0.0239,,0.36787944117144233,0.5,84,42
0.0,,0.32814958777058006,0.47297297297297297,74,35
0.0,,0.4020772232755631,0.5232558139534884,86,45
0.0,,0.143293953052569,0.33980582524271846,103,35
0.0,,0.06749834675561249,0.27058823529411763,85,23
0.0,,0.8896891767303647,0.8953488372093024,86,77
0.0,,0.5411628181130166,0.6195652173913043,92,57
0.0164,,0.15784308913485173,0.35135135135135137,74,26
0.0516,,0.38539427720275915,0.5119047619047619,84,43
0.0,,0.8212155182543464,0.8354430379746836,79,66
0.0,,0.8408572823643508,0.8522727272727273,88,75
0.0,,0.14134921631707825,0.3382352941176471,68,23
0.0,,0.8427772156087596,0.8539325842696629,89,76
0.0,,0.17669444575659674,0.36585365853658536,82,30
0.0,,0.9645008374979939,0.9651162790697675,86,83
0.0,,0.15335496684492847,0.34782608695652173,92,32
0.0,,0.7870711565527492,0.8068181818181818,88,71
0.0,,0.6376281516217733,0.6896551724137931,87,60
0.0,,0.15064079112962864,0.345679012345679,81,28
0.0,,0.34993774911115527,0.4878048780487805,82,40
0.0,,0.9120091435297542,0.9156626506024096,83,76
0.0,,0.9436773000056001,0.9452054794520548,73,69
0.0,,0.0054383166013435855,0.16091954022988506,87,14
0.0,,0.788127627745311,0.8076923076923077,78,63
0.0,,0.19691167520419406,0.38095238095238093,84,32
0.0,,0.708743003862785,0.7439024390243902,82,61
0.0,,0.45408372383450274,0.5588235294117647,102,57
0.0,,0.936327965220313,0.9382716049382716,81,76
0.0,,0.2996535799248734,0.45348837209302323,86,39
0.0,,0.8007374029168082,0.8181818181818182,88,72
0.0,,0.3944619643633245,0.5180722891566265,83,43
0.0,,0.3587964654059516,0.49382716049382713,81,40
0.0,,0.432916979627099,0.5443037974683544,79,43
0.0,,0.8915853592544761,0.8970588235294118,68,61
0.0,,0.25198684924242015,0.42045454545454547,88,37
0.0,,0.19342660460039254,0.3783783783783784,74,28
0.0,,0.9013189360826013,0.9058823529411765,85,77
0.0,,0.9733349348192527,0.9736842105263158,76,74
0.0292,,0.6065306597126334,0.6666666666666666,93,62
0.0,,0.5272924240430485,0.6097560975609756,82,50
0.0,,0.7918895663367818,0.8108108108108109,74,60
0.0,,0.2588901725686173,0.42528735632183906,87,37
0.0,,0.05452527577743519,0.2558139534883721,86,22
