bleu,p,bp,lr,rl,pl
0.0,,1.0,1.0410958904109588,73,76
0.0,,0.0820849986238988,0.2857142857142857,77,22
0.0,,0.05280357033430053,0.2537313432835821,67,17
0.0,,0.28232231990699064,0.44155844155844154,77,34
0.0,,0.39212672523825076,0.5164835164835165,91,47
0.0,,0.07843739051713067,0.28205128205128205,78,22
0.0,,0.03508435410084504,0.22988505747126436,87,20
0.0,,0.5445240670802435,0.6219512195121951,82,51
0.0,,0.645648526427892,0.6956521739130435,69,48
0.0,,0.12058690105553616,0.32098765432098764,81,26
0.0,,0.09982388196086008,0.3026315789473684,76,23
0.0,,0.19527756283568573,0.379746835443038,79,30
0.0,,0.09536916221554961,0.29850746268656714,67,20
0.0,,0.02287346491123891,0.20930232558139536,86,18
0.0309,,0.33766051365513194,0.4794520547945205,73,35
0.0,,0.25283959580474646,0.42105263157894735,76,32
0.0,,0.08388899270179824,0.2875,80,23
0.0814,,1.0,1.1168831168831168,77,86
0.0,,0.18887560283756186,0.375,80,30
0.0,,0.19776226427407143,0.3815789473684211,76,29
0.0,,0.6582425370828381,0.7051282051282052,78,55
0.0,,0.8240299628128845,0.8378378378378378,74,62
0.0,,0.046942889675325485,0.2463768115942029,69,17
0.0,,0.20189651799465547,0.38461538461538464,78,30
0.0,,0.06081006262521795,0.2631578947368421,76,20
0.0,,0.08557746127787037,0.2891566265060241,83,24
0.0,,0.042143843509276385,0.24,75,18
0.0,,0.012868907137631324,0.18681318681318682,91,17
0.0,,0.5647181220077593,0.6363636363636364,77,49
0.0,,0.43459820850707814,0.5454545454545454,77,42
0.0,,0.0026941657785782246,0.14457831325301204,83,12
0.0,,0.5173214129809031,0.6027397260273972,73,44
0.0,,0.9021800413348781,0.9066666666666666,75,68
0.0,,0.009165510554053324,0.17567567567567569,74,13
0.0,,0.5179405887454284,0.6031746031746031,63,38
0.0,,0.0602336682634164,0.2625,80,21
0.0,,0.08816268936235745,0.2916666666666667,72,21
0.0,,0.07495187103951048,0.27848101265822783,79,22
0.0,,0.06217652402211632,0.2647058823529412,68,18
0.0,,0.4274149319487267,0.5405405405405406,74,40
0.0,,0.0301973834223185,0.2222222222222222,81,18
0.0,,0.8932370982332877,0.8985507246376812,69,62
0.0,,0.15008526333580158,0.34523809523809523,84,29
0.0,,0.6425518967598274,0.6933333333333334,75,52
0.0,,0.09246247606291999,0.29577464788732394,71,21
0.0,,0.8553453273074225,0.8648648648648649,74,64
0.0248,,0.1753904336472861,0.36486486486486486,74,27
0.0,,0.558035145770047,0.631578947368421,76,48
0.0,,0.06081006262521795,0.2631578947368421,76,20
0.0,,0.0319224918348957,0.225,80,18
0.0,,0.3965314190749928,0.5194805194805194,77,40
0.0484,,0.5827482523739896,0.6493506493506493,77,50
0.0,,0.740818220681718,0.7692307692307693,78,60
0.0,,0.11878563669440885,0.3194444444444444,72,23
0.0,,0.06843860713287278,0.2716049382716049,81,22
0.0,,0.22313016014842982,0.4,80,32
0.0,,0.558035145770047,0.631578947368421,76,48
0.0,,0.861350535541493,0.8701298701298701,77,67
0.0,,0.06217652402211632,0.2647058823529412,68,18
0.0,,0.10539922456186433,0.3076923076923077,78,24
0.0,,0.0602336682634164,0.2625,80,21
0.0,,0.1064585043792528,0.30864197530864196,81,25
0.0,,0.0008251049232659046,0.12345679012345678,81,10
0.0,,0.020754337873699742,0.20512820512820512,78,16
0.0,,0.40656965974059905,0.5263157894736842,76,40
0.0,,0.0013117887221641273,0.13095238095238096,84,11
0.0,,0.7494156282712189,0.7761194029850746,67,52
0.0,,0.10109782498721881,0.3037974683544304,79,24
0.0549,,0.6972189833630142,0.7349397590361446,83,61
0.0,,0.06843860713287278,0.2716049382716049,81,22
0.0,,0.0283678164497131,0.2191780821917808,73,16
0.0,,0.1771480897843865,0.36619718309859156,71,26
0.0,,1.0,1.0945945945945945,74,81
0.0,,0.1304145524677699,0.32926829268292684,82,27
0.0,,0.5488116360940264,0.625,72,45
0.0,,0.7279955689141826,0.7590361445783133,83,63
0.0,,0.7040702133096365,0.7402597402597403,77,57
0.0,,0.8583204384950875,0.8674698795180723,83,72
0.0,,0.06948345122280151,0.2727272727272727,77,21
0.0,,0.07136126955638608,0.27472527472527475,91,25
0.0,,0.05221523583843955,0.25301204819277107,83,21
0.0,,0.8574039191604413,0.8666666666666667,75,65
0.0,,0.5795782787848095,0.6470588235294118,85,55
0.0,,0.04481272418528959,0.24358974358974358,78,19
0.0199,,0.2197748831002536,0.39759036144578314,83,33
0.0,,0.08374322559219592,0.28735632183908044,87,25
0.0,,0.6337248870127924,0.6867469879518072,83,57
0.0,,0.8979038320326344,0.9027777777777778,72,65
0.0,,0.08406285583693755,0.2876712328767123,73,21
0.0,,0.1030308034617642,0.3055555555555556,72,22
0.0,,0.07690246169808079,0.2804878048780488,82,23
0.0,,0.1826835240527346,0.37037037037037035,81,30
0.0,,0.15123975969049577,0.34615384615384615,78,27
0.0,,0.020928013331991634,0.2054794520547945,73,15
0.0,,0.7279955689141826,0.7590361445783133,83,63
0.0,,0.05233970594843241,0.25316455696202533,79,20
0.0,,0.23851255385430237,0.410958904109589,73,30
0.0,,0.20189651799465547,0.38461538461538464,65,25
0.0,,0.3406420441574411,0.48148148148148145,81,39
0.0,,0.03934863011150552,0.2361111111111111,72,17
0.0,,0.1664428206145948,0.35802469135802467,81,29
