bleu,p,bp,lr,rl,pl
0.0,,1.0,1.1176470588235294,68,76
0.0,,1.0,1.0,65,65
0.0,,0.5462649509478217,0.6231884057971014,69,43
0.0,,0.788127627745311,0.8076923076923077,78,63
0.0,,0.2889853424434045,0.4461538461538462,65,29
0.0,,1.0,1.0147058823529411,68,69
0.0,,0.2306931822549629,0.40540540540540543,74,30
0.0,,0.34624590072707134,0.4852941176470588,68,33
0.0,,0.7678576278706977,0.7910447761194029,67,53
0.0,,0.3083651678965815,0.4594594594594595,74,34
0.0,,0.1704640646087285,0.3611111111111111,72,26
0.0,,0.7678576278706977,0.7910447761194029,67,53
0.0,,0.05563799827784279,0.2571428571428571,70,18
0.0,,0.11373170793120879,0.3150684931506849,73,23
0.0,,0.08427380392170367,0.2878787878787879,66,19
0.0,,0.19131267379416067,0.37681159420289856,69,26
0.0,,0.8007374029168082,0.8181818181818182,77,63
0.0,,0.20045953818931547,0.3835616438356164,73,28
0.0,,0.09868824146980928,0.30158730158730157,63,19
0.0,,0.03214494732687607,0.22535211267605634,71,16
0.0,,0.698730217602007,0.7361111111111112,72,53
0.0,,0.9035270092600377,0.9078947368421053,76,69
0.0,,0.8101577349324267,0.8260869565217391,69,57
0.0,,0.9411939401248326,0.9428571428571428,70,66
0.0,,0.291319891133471,0.44776119402985076,67,30
0.0,,0.07065121306042957,0.273972602739726,73,20
0.0,,0.04426118996980666,0.24285714285714285,70,17
0.0,,0.9007949642325722,0.9054054054054054,74,67
0.0,,0.9847331232494917,0.9848484848484849,66,65
0.0,,0.036424997337364234,0.2318840579710145,69,16
0.0,,0.5462649509478217,0.6231884057971014,69,43
0.0,,0.7960683934265902,0.8142857142857143,70,57
0.0,,0.8607079764250577,0.8695652173913043,69,60
0.0,,0.22730069704883135,0.40298507462686567,67,27
0.0,,0.34624590072707134,0.4852941176470588,68,33
0.0,,0.7860453895188959,0.8059701492537313,67,54
0.0,,0.7299240328711835,0.7605633802816901,71,54
0.0,,0.8963942066351505,0.9014084507042254,71,64
0.0,,0.8594048608885094,0.868421052631579,76,66
0.0,,0.21107208779109024,0.391304347826087,69,27
0.0,,0.7788007830714049,0.8,70,56
0.0,,0.08427380392170367,0.2878787878787879,66,19
0.0,,0.8824969025845955,0.8888888888888888,72,64
0.0,,0.9411939401248326,0.9428571428571428,70,66
0.0,,0.2889853424434045,0.4461538461538462,65,29
0.0,,0.6731188730678771,0.7164179104477612,67,48
0.0,,0.3779577080933165,0.5068493150684932,73,37
0.0,,0.7206611626353246,0.7532467532467533,77,58
0.0,,1.0,1.0,64,64
0.0,,0.06217652402211632,0.2647058823529412,68,18
0.0,,0.594025320553635,0.6575342465753424,73,48
0.0,,1.0,1.1166666666666667,60,67
0.0,,0.7026185226629954,0.7391304347826086,69,51
0.0,,0.14134921631707825,0.3382352941176471,68,23
0.0,,0.678578505408009,0.7205882352941176,68,49
0.0,,0.19691167520419406,0.38095238095238093,63,24
0.0,,0.8035225736890608,0.8205128205128205,78,64
0.0,,1.0,1.265625,64,81
0.0,,0.12957722275338307,0.32857142857142857,70,23
0.0,,0.005247518399181385,0.16,75,12
0.0,,0.9428731438548749,0.9444444444444444,72,68
0.0,,0.20189651799465547,0.38461538461538464,65,25
0.0,,1.0,1.03125,64,66
0.0,,0.8515353321631065,0.8615384615384616,65,56
0.0,,0.972224033359371,0.9726027397260274,73,71
0.0,,0.9167169520254864,0.92,75,69
0.0,,0.76396693524234,0.7878787878787878,66,52
0.0,,0.7960683934265902,0.8142857142857143,70,57
0.0,,1.0,1.0985915492957747,71,78
0.0,,0.2517521153523297,0.42028985507246375,69,29
0.0,,0.028115659748972045,0.21875,64,14
0.0,,0.7494156282712189,0.7761194029850746,67,52
0.0,,1.0,1.123076923076923,65,73
0.0,,0.34686364525689223,0.4857142857142857,70,34
0.0,,0.6555883369077856,0.703125,64,45
0.0,,0.06299462445432306,0.265625,64,17
0.0,,0.17204486382305056,0.36231884057971014,69,25
0.0,,0.9131007162822622,0.9166666666666666,72,66
0.0,,0.9710165517924371,0.9714285714285714,70,68
0.0,,0.07642628699076812,0.28,75,21
0.0,,0.301194211912202,0.45454545454545453,77,35
0.0,,0.7211392131402784,0.7536231884057971,69,52
0.0,,0.6807123983233854,0.7222222222222222,72,52
0.0,,0.0776490817034759,0.28125,64,18
0.0,,0.4694950324149596,0.5694444444444444,72,41
0.0,,0.5722727675712236,0.6417910447761194,67,43
0.0,,0.7026185226629954,0.7391304347826086,69,51
0.0,,0.9048374180359595,0.9090909090909091,66,60
0.0,,0.9851854581626466,0.9852941176470589,68,67
0.0,,0.1476303922793064,0.34328358208955223,67,23
0.0,,0.9033050942398444,0.9076923076923077,65,59
0.0,,0.015703900565128083,0.19402985074626866,67,13
0.0,,0.034834644453412465,0.22950819672131148,61,14
0.0,,0.0024787521766663585,0.14285714285714285,70,10
