bleu,p,bp,lr,rl,pl
0.0,,0.03877420783172201,0.23529411764705882,68,16
0.0,,1.0,1.0833333333333333,36,39
0.0,,0.003697863716482932,0.15151515151515152,66,10
0.0,,0.09469038101854274,0.2978723404255319,47,14
0.0,,0.595401971897774,0.6585365853658537,41,27
0.0,,0.2140240971774475,0.39344262295081966,61,24
0.0,,0.16403223629617636,0.3561643835616438,73,26
0.2279,,1.0,1.0588235294117647,17,18
0.1507,,1.0,1.2083333333333333,24,29
0.0,,1.0,1.180327868852459,61,72
0.0,,0.11373170793120879,0.3150684931506849,73,23
0.0,,1.0,1.064516129032258,62,66
0.0,,0.19105911163939587,0.37662337662337664,77,29
0.0,,1.0,1.1904761904761905,42,50
0.0397,,0.18637397603941003,0.373134328358209,67,25
0.0,,1.0,1.1355932203389831,59,67
0.0,,0.5488116360940264,0.625,40,25
0.0,,0.6312836455069258,0.684931506849315,73,50
0.0,,0.04723445948418638,0.24675324675324675,77,19
0.0,,1.0,1.5116279069767442,43,65
0.0,,1.0,1.0,54,54
0.0,,1.0,1.2222222222222223,27,33
0.0,,1.0,1.6136363636363635,44,71
0.0,,0.7678576278706977,0.7910447761194029,67,53
0.0,,0.42806302118317596,0.5409836065573771,61,33
0.0,,0.10782208975362373,0.30985915492957744,71,22
0.2703,,0.4138080991773701,0.53125,32,17
0.2997,,1.0,1.736842105263158,19,33
0.0,,0.7165313105737893,0.75,64,48
0.0,,0.6925693242051978,0.7313432835820896,67,49
0.0136,,0.049787068367863944,0.25,60,15
0.0,,0.06500225396303454,0.26785714285714285,56,15
0.0,,0.09071795328941251,0.29411764705882354,68,20
0.091,,0.5375735693311238,0.6170212765957447,47,29
0.0,,1.0,1.0,64,64
0.0,,0.7650170614485746,0.7887323943661971,71,56
0.0,,1.0,1.8666666666666667,30,56
0.0,,0.0560028363077737,0.25757575757575757,66,17
0.0,,0.3455907525769745,0.48484848484848486,66,32
0.0,,0.3228928377083497,0.46938775510204084,49,23
0.0,,0.2318792628481923,0.40625,32,13
0.0481,,0.1224564282529819,0.3225806451612903,31,10
0.0038,,0.012277339903068436,0.18518518518518517,81,15
